category	title
__label__cat12	반려 해파리 판매합니다
__label__cat04	하겐다즈 3개 팔아요
__label__cat04	야끼니꾸용 고베규 있어요
__label__cat04	윌리웡카 초콜릿 팝니다
__label__cat04	민트초콜릿 팔아요
__label__cat04	수박맛 호로요이입니다
__label__cat14	포켓몬 인형 팔아요
__label__cat04	karel capek 티백 판매합니다
__label__cat04	블루보틀 캔커피 판매해요
__label__cat14	프리퀀시 팔아요
__label__cat01	벨킨 허브
__label__cat01	hp 모니터 팔아용
__label__cat01	맥북 Apple Pro
__label__cat01	블루투스 스피커
__label__cat14	스벅 컵 팝니다
__label__cat01	맥북 에어
__label__cat14	컵 세트
__label__cat03	모던 스탠드
__label__cat03	불멍 에탄올 램프
__label__cat04	수제사탕
__label__cat03	책상 세트
__label__cat03	시스템 옷장
__label__cat01	스피커 하만카돈
__label__cat01	시계는 와치 시계는 와치
__label__cat01	마샬
__label__cat01	xs max 어프어프 케이스
__label__cat01	아이패드 프로 1세대 97 128기가 wifi
__label__cat01	인텔12세대최신 갓성비 gtx1060  rtx3060기획전 특가판매
__label__cat01	아이폰8
__label__cat01	갤럭시노트10 256G 레드 판매합니다
__label__cat01	애플워치6 스테인레스 44mm
__label__cat01	Rtx 3080ti 기가바이트 Gaming OC
__label__cat01	번개특가라이젠2700 게이밍pc 작업장pc  최저가격 기획전
__label__cat01	코스텔 그라파이트 오븐토스터
__label__cat01	롤 트위치 프라임 서비스  5만원 상당  
__label__cat01	아이폰12 미니 128GB 화이트 리퍼
__label__cat01	갤럭시Z폴드3 검정 자급제 미사용
__label__cat01	12세대 가성비본체 자신있게 추천합니다
__label__cat01	삼성 Z플립3 베이비크림 가개통수준
__label__cat01	갤럭시A3 바이올렛 가개통
__label__cat01	갤럭시워치액티브2 블랙 미사용 가개통
__label__cat01	갤럭시탭A7 신형 미개봉
__label__cat01	인기피시모음컴퓨터게임용사무용정직판매친절상담
__label__cat01	갤럭시탭A7 신형
__label__cat01	갤럭시 퀀텀2 바이올렛 가개통
__label__cat01	아이폰13미니 256 블루 S급 풀박스
__label__cat01	갤럭시 와이드5 미개봉 그레이색
__label__cat01	갓성비특가인텔 7세대 최상급 I5 7600GTX시리즈 게이밍셋최저가
__label__cat01	매직트랙패드2
__label__cat01	미개봉신품24인치 144HZ 모니터 최저가판매
__label__cat01	상태 최상핑크 소리자바 속기사 키보드 
